n;corpus;index;date;year;sender;senderLocation;recipient;recipientLocation;languages;mainLanguage;text
10;Schmitz Joyce;11;21/11/1925;1925;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,FRE;ITA;2 Square Robiac 192 Rue de Grenelle. VII Parigi    21.11.25 Caro Schmitz, Scusi se la mia risposta ha tardato ma questi ultimi giorni avevo scopolamine negli occhi e anch'oggi preferisco dettar a Lucia. Essa vi ringrazia molto, tanto Lei che la signora Trevisani (Fausta Veneziani) ed io pure La ringrazio per il gentilissimo invito ma purtroppo non può accettarlo per il momento ed ecco perché. Mercoledì e giovedì prossimo entro alla clinica dove devo subir un'operazione, la settima in tre anni (cateratta secondaria) ma conto di esser di ritorno per natale, poi, passate le feste vogliamo andare a Londra per la première ed unica della mia commedia. In queste circostanze sarebbe difficile per Lucia di assentarsi. Ci rincresce perché sarebbe stato un soggiorno molto piacevole per lei, però l'anno prossimo spero di poter andar a passare qualche tempo a Trieste. Ho parlato colla direttrice del «Navire d'Argent» la quale m'assicurò che un brano del Suo libro sarà pubblicato nel numero di gennaio o febbraio presentato da Crémieux. Continuo a lavorare malgrado l'ostacolo della vista. Rassicuri la Sua Signora in quanto riguarda la figura d'Anna Livia. Di lei non tolsi che la capigliatura e quella soltanto a prestito per addobbare il rigagnolino della mia città l'Anna Liffey che sarebbe il più lungo fiume del mondo se non ci fosse il canal che viene da lontano per sposare il gran divo, Antonio Taumaturgo e poi cambiato parere se ne torna com'è venuto. Tanti saluti cordialissimi a voi tutti quanti una stretta di mano [James Joyce] 
11;Schmitz Joyce;12;15/02/1926;1926;Ettore Schmitz;Londra;James Joyce;Parigi;ITA,ENG,UND;ITA;Londra, 15 Febbraio 1926 Caro Joyce, Scrissi all'indirizzo indicatomi mandando il biglietto. Mi si rispose che avevo dimenticato di rimettere la lettera Sua e mi si invitava di presentarmi al bigoncio con la stessa la sera della rappresentazione. Cosi feci e tutto fini bene: Ebbi due magnifici posti e, contrariamente agli usi del paese, a macai. Lo debbo a Lei e grazie! Non del tutto a maca perché mi portarono via la Sua lettera. Tutta la sera fui accompagnato dal delizioso sentimento di assistere allo svolgimento di una Sua opera importante, tanto differente da tutte le altre Sue. Molti anni or sono io lessi Exiles in manoscritto, quella cara calligrafia che tutti ora conoscono, che io amo ma che non so leggere correntemente se non è dedicata a segni italiani. Neppure la rappresentazione mi diede tutta la commedia il cui testo spero di avere questa sera. Specialmente l'ultimo discorso di Rowan che suppongo tanto importante per la rivelazione delle molle più misteriose che lo fanno agire, a me e a Livia sfuggi interamente forse anche perché eravamo un po' lontani dalla scena. Di solito a Londra sediamo tanto vicini agli attori che, quando diciamo: «I beg your pardon», gli attori, se sono buoni, ripetono la frase. Ho fretta di avere il libro perché giovedì tento di passare gratis al «Debate on  Exiles » e vorrei aver capito l'opera interamente. La Black Roberts per me fu un'attrice indimenticabile. Non dev'essere mica facile di rappresentare una donna cui non deve mancare certa pratica della vita e farvi risonare l'ingenuità con la chiarezza di un suono di campana e con la misura che l'ingenuità deve serbare per essere sentita autentica. Invece di un applauso le mandai un bacio e, spero, lo avrà sentito almeno come quelli di Robert Hand. Rupert Harvey mi diede una grande sorpresa. Non so se sia voluto, ma si muove, siede, s'alza e guarda come Lei. Amerei ora di rivederlo in altra parte per intendere meglio questa. È certo un attore valoroso. Mi parve come un uomo che amerebbe di agire senza dover dar conto delle proprie azioni. Non c'è esitazione in lui, ma la spiegazione che concede è fatta sempre con voce moderatissima quasi desiderasse che qualche sua parola non fosse intesa dai  suoi  interlocutori.   Spesso ciò  gli riusci con me visto che parlò sempre in inglese. Bene William Stak che all'ultimo momento assunse la parte di Robert Hand. Però la sua parte è la più facile delle tre. Pubblico magnifico, ma qualche bestione doveva esserci. Accanto a me un signore disse: « They want to force on us ltalian ways». Degl'Italiani si sa, anzi, che sono gelosi anche quando non amano. Molti applausi. Più fragorosi dopo il primo e secondo atto. Spero di vederla a Parigi, per qualche momento almeno, il 25 corrente. Suo affezionatissimo Ettore Schmitz Ha visto l'articolo del «Corriere della Sera» di G. Caprin dell'undici corrente? Guai se continua cosi. Meno il furto mi rimprovera tutti gli altri delitti. Dio sa quello che penseranno Cré-mieux e Larbaud. E anche Lei vi figura, con rispetto, ma vi figura, povero Joyce! 
12;Schmitz Joyce;13;30/06/1926;1926;Ettore Schmitz;Charlton;James Joyce;Parigi;ITA,FRE;ITA;67, Church Lane, Charlton, S.E.7. 30 giugno 1926 Caro amico, Eugenio Montale, critico di una certa fama in Italia, vorrebbe pubblicare sulla «Fiera Letteraria» uno studio su Gens de Dublin e ciò nei prossimi giorni, com'egli mi scrive. Vorrebbe però accompagnare l'articolo con una Sua fotografia. Potrebbe mandargliela direttamente all'indirizzo seguente: 8,    Via Privata Piaggio Genova Gliene sarebbe grato. Per non disturbarla mi sarei quasi rivolto alla signorina Beach. Ma poi poteva costare perdita di tempo se essa doveva rivolgersi a Lei. Spero che la presente La trovi in buona salute (mi tocco il naso fino a schiacciarlo). Io sarò a Parigi l’ 11 o 12 di Luglio. Anche questa volta mi basterà di venir a stringerle la mano. Siamo in 4 perché oggi vengo raggiunto a Londra da mia figlia e da mio genero, e resteremo a Parigi solo due o tre giorni occupatissimi a far loro vedere la grande città. Certo io amerei di poter stringere la mano al signor Larbaud. Ma non desidero di seccarlo. A tutta la Sua famiglia da parte di mia moglie e mia i più cordiali saluti. Mi creda, caro Joyce, Suo devotissimo Ettore Schmitz 
13;Schmitz Joyce;14;30/09/1926;1926;Ettore Schmitz;Trieste;James Joyce;Parigi;ITA,ENG;ITA;Trieste, li 30 Settembre 1926 Caro amico, Le invio la «Fiera Letteraria» del 19 corrente con l'articolo di Montale su Dubliners. Forse Lei non l'ha avuto ancora. Mi pare interessante. Montale non ricevette il ritratto che per lui Le avevo domandato. Deve essere andato smarrito. Appartiene alla Sua famiglia un J. Joyce che nel 1850 pubblicò a Trieste Recollections of the Salz Kammergut, Ischi, Salzburg, Bad Gastein, with a sketch of Trieste? Il libro fu scovato da mio genero per la sua collezione di storia patria. Io vidi per un istante Suo fratello al bagno di mare e mi disse che si sposa in ottobre. V'è la speranza di vedervi tutti qui? Salutandola caramente, Suo devotissimo Ettore Schmitz 
14;Schmitz Joyce;15;00/12/1926;1926;James Joyce;Parigi;Ettore Schmitz;Trieste;ENG;ENG;Mr   and Mrs James  Joyce   send their  best  wishes  to  you  and family for Xmas and new year Paris '26 
15;Schmitz Joyce;16;00/00/1927;1927;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,GER,ENG;ITA;all'egregio Sig. Ettore Schmitz Fabbrica Veneziani Chiarbola Superiore Trieste X (Italie) Caro amico: La Rhein-Verlag, Lipsia, che pubblicherà Ulisse in tedesco il 25 co[rren]te (in 3 voi. legati a 1200 franchi l'esemplare), desidera pubblicare anche una traduzione del Suo libro La Coscienza di Zeno. Ho parlato ieri col loro reader, che Le scriverà fra poco. Tante buone cose J. J. 
16;Schmitz Joyce;17;23/12/1927;1927;James Joyce;Parigi;Ettore Schmitz;Trieste;ENG,ITA;ENG;Mrs  and Mr  Hector  Schmitz Villa Veneziani Chiarbola Superiore Trieste (Italie) With  best wishes for a pleasant  Christmas from  us all James Joyce 23.12.27 
17;Schmitz Joyce;18;27/03/1928;1928;Ettore Schmitz;Trieste;James Joyce;Parigi;ITA;ITA;Trieste, li 27 Marzo 1928 Caro amico, Qui ho trovato le due lettere per gli editori. Non si può essere più generosi di cosi. Io vivo dei suoni che m'accompagnano da Parigi. Uno sovrasta agli altri: Anna Livia e il ritratto del Veruda- Vorrebbe Lei averlo? Dica in una cartolina postale la sola parola «si» ed io Glielo invio. Senza il Suo consenso non oso inviarle il ritratto di mia moglie. Di lavori di Veruda io ne ho molti, e in quanto al soggetto io mi tengo caro l'originale. Alla Sua Signora i nostri ringraziamenti. Quando viene Lucia ? Le stringo affettuosamente la mano. Suo devotissimo Ettore Schmitz 
18;Schmitz Joyce;19;06/04/1928;1928;James Joyce;Parigi;Ettore Schmitz;Trieste;ITA,FRE,ENG;ITA;2, Square Robiac 192, Rue de Grenelle Parigi Caro Schmitz: Di ritorno qui trovo la Sua gentile lettera. Ben volentieri accetto il Suo regalo e che l'immagine di Anna Livia mi porti e ricordi ed auguri. Spero che avrà buon successo con Cape e coi Vikings — il primo però, non comprendente inglese, è più temibile. Buona Pasqua alla Signora ed a Lei da noi tutti James Joyce 6.IV.28 
19;Svevo Larbaud;1;11/01/1925;1925;Valéry Larbaud;Parigi;Ettore Schmitz;Trieste;ITA,FRE;ITA;71, Rue du Cardinal Lemoine. V 11 Gennaio 1925 Egregio Signore e Maestro, dacché ho ricevuto e letto La Coscienza di Zeno ho fatto tutto quello che ho potuto per fare conoscere in Francia questo libro ammirevole. Propaganda solamente orale, ma efficace, come Lei vedrà. Nell'estate scorsa si fondò la rivista «Commerce», trimestrale, diretta dal più grande dei nostri poeti, Paul Valéry, da Leon-Paul Fargue, conosciuto dalla élite come uno dei migliori scrittori di vanguardia, e da me, e subito questa rivista si pose al primo rango delle riviste francesi di letteratura pura. L'idea di questa pubblicazione venne dalla principessa di Bassiano, moglie del principe Roffredo Caetani, di Roma, la quale ci fornisce i fondi e ci dà anche consigli efficaci. Prima della fondazione della rivista avevo fatto leggere alla principessa La Coscienza di Zeno, e adesso che siamo in preparazione dei numeri IV e V, lei desidera che pubblichiamo alcuni brani, — da 10 a 15 pagine, — del Suo libro. La questione della traduzione non ha difficoltà: fra i nostri migliori scrittori di vanguardia contiamo tre o quattro ottimi traduttori d'Italiano, disposti a tradurre le pagine che sceglieremo. L'unica cosa che ci manca, dunque, è l'autorizzazione di Lei e dell'editore Cappelli. Per parte mia vorrei dare in « Commerce» un breve studio sopra la di Lei opera, studio che darei, più tardi, e più completo, nella «Nouvelle Revue Frangaise» o nella « Revue Européenne». Ma non conosco i Suoi altri libri (Una vita, Senilità) che ho cercati l'estate scorsa in Bologna e in Firenze senza incontrarli, e Le sarei gratissimo se Lei avesse la bontà d'inviarmeli. Il nostro amico James Joyce, come Lei avrà saputo, ha dovuto subire un'altra operazione agli occhi, e adesso sta bene e lavora.La prego scusare tante domande e credermi, Egregio Signore e Maestro, Il Suo devoto ammiratore Valéry Larbaud 
20;Svevo Larbaud;2;15/01/1925;1925;Ettore Schmitz;Trieste;Valéry Larbaud;Parigi;ITA;ITA;Trieste 10 Villa Veneziani, 15 Gennaio 1925 Esimio Signore, Grazie per la cara Sua. La mia gratitudine va anche a James Joyce che a Lei m'indirizzò e a quella gentilissima Gentildonna nostra che volle interessarsi dell'opera mia. Il romanzo non fu da me ceduto all'editore. Perciò basta la mia autorizzazione ed io la dò intera. Inviando un romanzo in Francia, a me pare d'inviare vasi a Samo che però dovrebb'essere anche il luogo ove i vasi s'intendono. Io mando intanto quella parte ch'Ella desidera, dolente sia di sole 15 pagine. Le scelga Lei e sia tanto buono di scegliere anche il traduttore. Se m'è concesso vorrei vedere le prove di stampa. Conosco il francese ma non quanto Lei l'italiano. Non avendolo mai indirizzato a una persona come Lei, la timidezza mi fermerebbe la penna. Io scrissi due altri romanzi fra i 25 e 30 anni fa. Non si trovano più in commercio. Posseggo tuttavia alcune copie di Una vita (pubblicata quando conoscevo tutto Maupassant meno Une vie di cui non sapevo l'esistenza. Una bell'avventura!!!) e una sola di Senilità. Ambedue le edizioni sono esaurite ma nessuno sente il bisogno di una ristampa ed io (specie per quel che riguarda Una vita) meno degli altri. Senilità piacque molti anni or sono al Joyce ed è curioso che mentre Una vita trovò in Italia qualche critico benevolo (e un ammiratore in Germania, Paul Heyse) Senilità non piacque che al Joyce. Mai nessun altro se ne occupò. Io spero di trovare una copia di Senilità da qualche amico e Le invierò la copia dei due romanzi. Non so io stesso il giudizio che si può fare di queste opere che non erano neppure esse tanto giovanili. Certo io non sento che La Coscienza di Zeno. Forse perché le altre non piacquero mai abbastanza a nessuno e vi rinunziai e le rinnegai. Bisogna pure sapersi adattare se si vuol vivere. Ritardo volentieri l'invio dei due volumi. Che non arrivino a danneggiare il terzo! Sono qui interamente a Sua disposizione per tutto quanto mi riguarda e per qualunque altra cosa se in questo cantuccio di terra ci fosse   qualche   cosa  che   potrebbe   interessarla.   Dico   parole   prive   di senso intese a significare la mia grande gratitudine. Suo  devotissimo Ettore  Schmitz 
21;Svevo Larbaud;3;16/02/1925;1925;Ettore Schmitz;Trieste;Valéry Larbaud;Parigi;ITA;ITA;Villa Veneziani Trieste 10. 16.2.1925 Esimio Signore, Alla tanto cara Sua dell'11 Gennaio, io risposi subito, ma fui tanto sbadato da non raccomandare la mia lettera. Eccomi nel dubbio che tale mia lettera tanto importante (per me) possa essere andata smarrita. Con quella lettera ringraziavo Lei e la principessa di Bassiano dell'onore che volevano farmi di pubblicare una quindicina di pagine del mio romanzo nella Sua rivista «Commerce» e La informavo anche che il romanzo era interamente a Sua disposizione. Raccomando la presente per poter esonerarla dal rispondermi. Commisi la leggerezza d'inviarle (questa volta raccomandando) i miei altri due romanzi. Questi, purtroppo, Le saranno giunti. Io vivo ancora della Sua lettera. Non la feci vedere a nessuno. Cosi conserva meglio il suo valore. Suo devotissimo Ettore Schmitz 
22;Svevo Larbaud;4;20/02/1925;1925;Valéry Larbaud;Parigi;Ettore Schmitz;Trieste;ITA,FRE;ITA;71 Rue du Cardinal Lemoine. V 20 febbraio 25 Egregio Signore e Maestro, Scrivo sotto la dettatura del signor Valerio Larbaud. Ricevo la Sua lettera del 16. Mi scusi se non ho risposto subito alla Sua prima. Sono stato occupatissimo. La ringrazio per i due libri. Per quel che Le avevo scritto stiamo organizzando la campagna in Suo favore. Forse cominceremo con un articolo, di uno di noi, sopra un giornale italiano questa estate. Poi per il quinto numero di «Commerce» che uscirà nel mese di ottobre prossimo prepareremo una selezione di pagine tradotte al francese. Di Senilità prenderemo le pagine 162-172 che ho lette a parecchi amici e che furono ricevute con applausi e qualcheduno pronunciò il nome di Marcel Proust. Della Coscienza di Zeno prenderemo le pagine 16-36 e 477-496. Di Una vita che un amico mio sta leggendo adesso, non so ancora se daremo un campione. Forse faremo dei cambi in questa scelta, e forse anche daremo titoli (ma fra parentesi) alle pagine scelte. Il titolo Senilità ci sembra poco adatto al romanzo, e se si dovesse tradurre al francese intero, credo che sarebbe meglio prendere come titolo: Emilio Brentani. Siamo impazienti di cominciare la campagna, ma abbiamo tanto da fare ognuno che le cose non possono andare con la rapidità che vorremmo, pure già c'è un rumore del nome di Lei fra i migliori scrittori giovani di qui. Il resto verrà a poco a poco. Mi creda, Egregio Signore e Maestro, Suo devotissimo ammiratore Valéry Larbaud 
